year,ISO_code,Country,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2015,JPN,Japan,7.46,41,2,4.167647059,4.070482659,7,3,4.55953243,8.469138599,6.565291981,8.619151206,8.333333333,8.333333333,6.329708858,7.847784736,8.545197646,7.193052227,0.948717949,7.603896561,9.376703986,9.296115395,9.842723956,10,9.628885834,7.710222222,7.055965835,10,4.951273303,7.42936534,8.310666667,8.150385958,7.762819438,8.074624021
2015,JOR,Jordan,7.47,38,1,6.226470588,7.799966129,8,7.5,7.381609179,6.581923814,5.446774969,6.666271446,7.5,6.666666667,3.376286714,6.644714877,8.316326141,6.435919584,0.487804878,4.763858993,9.464703037,9.342706219,9.825420481,10,9.658207434,7.051111111,6.154960702,10,7.313665419,7.629934308,8.831666667,7.901246024,6.983113866,7.905342185
2015,KAZ,Kazakhstan,7.26,58,2,6.529411765,8.551374301,6,9,7.520196516,4.896886636,4.810388355,5.60852918,8.333333333,5.833333333,6.339410345,9.900981545,5.134680271,7.017318521,0.743589744,5.606111942,9.544034909,7.578801188,8.6708,10,8.948409024,7.190044444,5.278760163,10,3.060478068,6.382320669,8.598333333,7.528168394,7.3317393,7.819413676
2015,KEN,Kenya,7.11,70,2,7.264705882,9.814190784,6,8,7.769724167,5.07301886,4.769662269,5.598135955,6.666666667,3.333333333,4.420377014,6.842007966,4.77477471,2.936187275,0.923076923,4.745102997,8.787496101,8.927727189,8.683517817,10,9.099685277,6.789288889,5.255272476,10,4.492008707,6.634142518,8.041333333,7.767618559,6.077231724,7.295394539
2015,KOR,"Korea, South",7.55,32,1,4.9,7.035129654,10,5.5,6.858782414,4.816287835,4.703484943,6.447045445,6.666666667,8.333333333,7.507404125,8.219626884,7.166666985,6.516184211,0.923076923,6.450502182,9.064741614,9.726257595,9.858767425,10,9.662441658,5.604444444,7.401149667,10,7.185180117,7.547693557,9.316333333,4.742597834,7.557840334,7.205590501
2015,KWT,Kuwait,6.59,101,3,0.944117647,6.896331062,7,10,6.210112177,6.220339498,5.466284903,5.725799883,8.333333333,6.666666667,5.068858974,8.909581744,6.779661179,7.227682437,0.487179487,4.990165384,8.805697799,2.171442927,9.345659504,10,7.580700058,8.858133333,4.014899115,10,4.170386445,6.760854723,10,6.685031445,5.481586614,7.388872686
2015,KGZ,Kyrgyz Republic,6.81,85,3,6.894117647,7.149458315,6,8.5,7.135893991,3.818901211,3.437378283,4.221141537,4,,4.518921969,9.868110421,3.716666698,4.971311867,0.743589744,4.201226563,9.100023213,6.742980257,8.699336322,10,8.635584948,8.106222222,6.457498225,10,4.880455744,7.361044048,8.360333333,5.912861366,5.909997707,6.727730802
2015,LAO,Laos,6.97,76,2,6.617647059,9.8369215,,9,8.484856186,4.668706039,4.894406684,4.597787815,7.6,,5.205943175,8.669629176,5.723270575,6.485043027,1,5.980598311,6.102189957,8.534338022,9.744754459,5,7.345320609,7.722888889,3.588005141,10,5.646291445,6.739296369,8.2695,4.923505882,5.749146631,6.314050838
2015,LVA,Latvia,7.72,18,1,5.052941176,7.019054772,7,6.5,6.392998987,4.960635332,3.218312161,5.688981636,8.333333333,8.333333333,5.526466726,9.030740107,5.306513309,7.192019779,1,6.398926191,8.749972723,9.173240999,9.959677419,10,9.470722785,8.360586579,7.89522127,10,7.129942957,8.346437702,9.086666667,7.635974368,7.322167749,8.014936261
2015,LBN,Lebanon,7.01,74,2,8.005882353,8.126968409,10,9,8.78321269,3.395819421,3.363848095,5.486658792,3.333333333,6.666666667,3.159425561,7.418029625,4.177489281,4.816033387,0.743589744,4.050679036,9.861679815,9.164750234,9.2502216,10,9.569162912,7.973511111,4.249367317,10,5.348798163,6.892919148,5,7.120080418,5.090877407,5.736985942
